"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "SCSS", "Ruby", "TypeScript", "YAML", "comment", "blank", "total"
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar-main-map\search-bar-main-map.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 10, 37
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar\search-bar.component.html", "HTML", 0, 0, 0, 0, 155, 0, 0, 0, 0, 2, 17, 174
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar\search-bar.component.scss", "SCSS", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 24, 122
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar\search-bar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\search-bar\search-bar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 431, 0, 17, 35, 483
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay1\tutorial-overlay1.component.html", "HTML", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay1\tutorial-overlay1.component.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 11, 50
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay1\tutorial-overlay1.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay1\tutorial-overlay1.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay2\tutorial-overlay2.component.html", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay2\tutorial-overlay2.component.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 11, 50
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay2\tutorial-overlay2.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\tutorial\tutorial-overlay2\tutorial-overlay2.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\waiting-at-as-small\waiting-at-as-small.component.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\waiting-at-as-small\waiting-at-as-small.component.scss", "SCSS", 0, 0, 0, 0, 0, 179, 0, 0, 0, 5, 39, 223
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\waiting-at-as-small\waiting-at-as-small.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\waiting-at-as-small\waiting-at-as-small.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 143, 0, 6, 8, 157
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 98, 0, 3, 4, 105
